Band,Country,Formed,Continent
Agalloch,United States,1995,North America
Slough Feg,United States,1990,North America
Tengger Cavalry,United States,2010,North America
Al-Namrood,Saudi Arabia,2008,Asia
Amorphis,Finland,1990,Europe
Battlelore,Finland,1999,Europe
Cadacross,Finland,1997,Europe
Ensiferum,Finland,1995,Europe
Finntroll,Finland,1997,Europe
Kivimetsän Druidi,Finland,2002,Europe
Korpiklaani,Finland,1993,Europe
Moonsorrow,Finland,1995,Europe
Turisas,Finland,1997,Europe
Viikate,Finland,1996,Europe
Wintersun,Finland,2004,Europe
Angizia,Austria,1994,Europe
Summoning,Austria,1993,Europe
Arandu Arakuaa,Brazil,2008,South America
Tuatha de Danann,Brazil,1995,South America
Аркона,Russia,2002,Europe
Tumulus,Russia,1997,Europe
Balkandji,Bulgaria,1999,Europe
Balyios,Australia,2013,Oceania
Barloventos,Argentina,2013,South America
Bathory,Sweden,1983,Europe
Falconer,Sweden,1999,Europe
Mithotyn,Sweden,1992,Europe
Thyrfing,Sweden,1995,Europe
Vintersorg,Sweden,1994,Europe
Blackguard,Canada,2001,North America
Leah,Canada,2011,North America
Scythia,Canada,2010,North America
Bloodywood,India,2016,Asia
Bucovina,Romania,2000,Europe
Cellar Darling,Switzerland,2016,Europe
Eluveitie,Switzerland,2002,Europe
Cemican,Mexico,2008,North America
Chthonic,Taiwan,1995,Asia
Cruachan,Ireland,1992,Europe
Geasa,Ireland,1994,Europe
Mael Mórdha,Ireland,1998,Europe
Dalriada,Hungary,1998,Europe
Elvenking,Italy,1997,Europe
Kanseil,Italy,2010,Europe
Wind Rose,Italy,2009,Europe
Empyrium,Germany,1994,Europe
Falkenbach,Germany,1989,Europe
In Extremo,Germany,1996,Europe
Letzte Instanz,Germany,1996,Europe
Lyriel,Germany,2003,Europe
Midnattsol,Germany,2003,Europe
Saltatio Mortis,Germany,2000,Europe
Schandmaul,Germany,1998,Europe
Subway to Sally,Germany,1992,Europe
Suidakra,Germany,1994,Europe
Tanzwut,Germany,1998,Europe
Wolfchant,Germany,2003,Europe
Folkheim,Chile,2003,South America
Glittertind,Norway,2001,Europe
Kampfar,Norway,1994,Europe
Lumsk,Norway,1999,Europe
Storm,Norway,1994,Europe
Trollfest,Norway,2003,Europe
Ulver (early),Norway,1993,Europe
Vardøger,Norway,1994,Europe
Windir,Norway,1994,Europe
Gostwind,South Korea,2004,Asia
Harmasar,Moldova,2013,Europe
Heidevolk,Netherlands,2002,Europe
Holy Blood,Ukraine,1999,Europe
Huldre,Denmark,2009,Europe
Svartsot,Denmark,2005,Europe
Vanir,Denmark,2009,Europe
Ithilien,Belgium,2005,Europe
Mägo de Oz,Spain,1989,Europe
Saurom,Spain,1996,Europe
Metsatöll,Estonia,1998,Europe
Myrath,Tunisia,2001,Africa
Ymyrgar,Tunisia,2012,Africa
Nine Treasures,China,2010,Asia
Obtest,Lithuania,1992,Europe
Onmyo-Za,Japan,1999,Asia
Orphaned Land,Israel,1991,Asia
Percival Schuttenbach,Poland,1999,Europe
Skálmöld,Iceland,2009,Europe
Skyforger,Latvia,1995,Europe
Varang Nord,Latvia,2014,Europe
The HU,Mongolia,2016,Asia
Týr,Faroe Islands,1998,Europe
